Monthly_Income	Monthly_Expense	Family_Members	Education
5000	8000	3	Under-Graduate
6000	7000	2	Illiterate
10000	4500	2	Under-Graduate
10000	2000	1	Illiterate
12500	12000	2	Graduate
14000	8000	2	Graduate
15000	16000	3	Post-Graduate
18000	20000	5	Graduate
19000	9000	2	Under-Graduate
20000	9000	4	Under-Graduate
20000	18000	4	Under-Graduate
22000	25000	6	Illiterate
23400	5000	3	Illiterate
24000	10500	6	Graduate
24000	10000	4	Graduate
25000	12300	3	Graduate
25000	20000	3	Graduate
25000	10000	6	Under-Graduate
29000	6600	2	Graduate
30000	13000	4	Graduate
30500	25000	5	Under-Graduate
32000	15000	4	Professional
34000	19000	6	Professional
34000	25000	3	Professional
35000	12000	3	Graduate
35000	25000	4	Professional
39000	8000	4	Under-Graduate
40000	10000	4	Under-Graduate
42000	15000	4	Graduate
43000	12000	4	Graduate
45000	25000	6	Graduate
45000	40000	6	Professional
45000	10000	2	Post-Graduate
45000	22000	4	Post-Graduate
46000	25000	5	Graduate
47000	15000	7	Professional
50000	20000	4	Professional
50500	20000	3	Professional
55000	45000	6	Graduate
60000	10000	3	Post-Graduate
60000	50000	6	Graduate
65000	20000	4	Illiterate
70000	9000	2	Graduate
80000	20000	4	Graduate
85000	25000	5	Under-Graduate
90000	48000	7	Post-Graduate
98000	25000	5	Professional
100000	30000	6	Graduate
100000	50000	4	Professional
100000	40000	6	Post-Graduate
