age	income	credit_score	num_transactions	account_balance	gender	education_level	employment_status	marital_status	region	customer_type	device_type	preferred_contact
45	82958	686	11	30714.11	Male	Diploma	Unemployed	Divorced	Central	At-risk	Smartwatch	SMS
39	60501	827	8	68717.63	Other	Master	Retired	Divorced	South	At-risk	Desktop	App-Notification
46	55822	833	11	32594.65	Male	Primary	Self-employed	Single	South	Returning	Mobile	Email
55	56369	749	13	45725.76	Other	Primary	Self-employed	Separated	East	Loyal	Mobile	None
38	33365	837	14	61206.13	Male	None	Part-time	Widowed	Central	Loyal	Other	App-Notification
38	30427	685	9	37687.43	Male	Bachelor	Retired	Separated	East	Churned	Other	None
56	69721	849	15	63877.57	Male	Diploma	Self-employed	Married	North	New	Mobile	None
48	69840	675	14	81921.59	Male	Primary	Unemployed	Widowed	Central	Loyal	Tablet	Email
35	80539	848	7	53794.23	Other	None	Part-time	Divorced	North	New	Tablet	Email
45	93338	739	16	68032.22	Other	Master	Retired	Widowed	East	At-risk	Other	None
35	41483	812	14	8531.58	Female	Secondary	Part-time	Divorced	Central	New	Smartwatch	Phone
35	40886	602	10	41418.96	Other	PhD	Unemployed	Divorced	East	At-risk	Mobile	None
42	68028	846	9	53698.02	Male	PhD	Retired	Widowed	Central	Returning	Other	None
21	51492	810	8	28940.7	Female	Diploma	Part-time	Divorced	East	Returning	Other	SMS
23	56317	676	11	54152.99	Female	Primary	Full-time	Divorced	South	Churned	Mobile	SMS
34	67659	813	16	71198.81	Female	PhD	Unemployed	Married	East	Loyal	Mobile	SMS
30	86220	800	9	12408.79	Male	Bachelor	Unemployed	Separated	South	Churned	Tablet	Phone
43	32374	791	13	26218.54	Other	PhD	Unemployed	Separated	East	At-risk	Smartwatch	Phone
31	34128	820	13	53696.27	Male	PhD	Full-time	Married	Central	Churned	Smartwatch	None
26	22961	801	12	59208.39	Female	PhD	Full-time	Widowed	Central	New	Mobile	SMS
55	45902	806	15	64761.61	Male	None	Self-employed	Single	Central	At-risk	Desktop	Phone
38	21098	734	17	52217.79	Male	Primary	Part-time	Single	West	Returning	Other	Email
41	38798	848	11	59230.25	Other	Bachelor	Self-employed	Single	North	Loyal	Other	None
26	43469	834	9	68069.61	Other	Primary	Part-time	Married	Central	At-risk	Mobile	App-Notification
35	30129	700	13	41710.84	Female	Diploma	Full-time	Married	South	At-risk	Desktop	None
41	46809	740	8	37828.28	Male	Diploma	Full-time	Divorced	Central	New	Tablet	App-Notification
28	20929	820	7	46629.87	Male	Diploma	Self-employed	Single	West	Loyal	Mobile	SMS
44	21142	802	9	53989.76	Other	Master	Retired	Widowed	South	Returning	Mobile	App-Notification
